nom,tailleMot,nbResults
spotlightet,11,281000000
bre,3,64900000
anpasning,9,3890000
uniformeres,11,2140
halvdan,7,587000
fysiker,7,489000
forsamla,8,13500
dess,4,39000000
ulken,5,475000
blekket,7,80900
sysselmann,10,37000
ungar,5,6960000
regjeringene,12,45100
berlinerne,10,9960
siktveksel,10,559
marbakken,9,4960
appretur,8,119000
anvisningene,12,126000
betraktelig,11,758000
forkleet,8,29300
framkom,7,788000
pennyen,7,34300
skimlet,7,22100
anstendighet,12,42000
rives,5,18300000
fineste,7,4200000
tres,4,809000000
stenografene,12,115000
tilvekst,8,153000
regionalpolitikk,16,569000
mandagens,9,1270000
formatering,11,932000
multipliserte,13,3370
signalerer,10,303000
hardhendt,9,48100
akkuratesse,11,68300
utskyllinga,11,94
dynn,4,326000
tilpassing,10,377000
marked,6,523000000
katalyse,8,506000
hansktes,8,77
drotten,7,51700
foreningenes,12,8140
uvennlige,9,10100
kapellanen,10,28600
blazeren,8,1260000
betenkningen,12,1100000
kuleflate,9,3010
bidragsplikt,12,6120
