nom,tailleMot,nbResults
alanguirai,10,1920
dispensas,9,908000
prosternassions,15,1810
renouvelaient,13,60700
broderont,9,7130
honorent,8,885000
exclusives,10,1250000000
pochassent,10,1450
provoquasses,12,1860
rouilleriez,11,1560
bacheliers,10,2500000
grisassent,10,1720
noterons,8,165000
insulteriez,11,4040
olfactive,9,1690000
additionnassent,15,3250
jasassent,9,1680
gaulliste,9,424000
montrerai,9,744000
exhortent,9,378000
palissadent,11,1820
suer,4,4740000
vouvoierait,11,2350
maladif,7,370000
tisonneraient,13,1110
remmenaient,11,1900
zozotasse,9,1080
geintes,7,2410
fige,4,2370000
cesse,5,30400000
aplanis,7,53300
subventionneras,15,3440
barricadas,10,1690000
serrent,7,643000
bombardez,9,35100
exploitas,9,556000
cajolons,8,2300
ayez,4,17000000
canonneriez,11,1140
jais,4,9800000
soufflettes,11,102000
installasse,11,27000
boufferez,9,2850
ressortiriez,12,3320
fauchassent,11,1530
noisettes,9,5590000
invectivent,11,33100
demain,6,87700000
monochrome,10,6740000000
charbonne,9,132000
