nom,tailleMot,nbResults
backpacks,9,140000000
injudiciously,13,208000
deliverers,10,720000
reprocess,9,965000
norm,4,142000000
claire,6,339000000
redoubt,7,1770000
valuator,8,922000
shifting,8,95000000
walpole,7,9900000
anaconda,8,32100000
sojourns,8,740000
protease,8,17800000
twigged,7,258000
nuptial,7,4700000
yugoslavs,9,304000
tacking,7,4040000
psyching,8,329000
parcelling,10,220000
eavesdropped,12,413000
bloomsbury,10,16400000
competently,11,4330000
cowhand,7,406000
odes,4,22600000
diatomaceous,12,2900000
cites,5,53700000
disinheriting,13,111000
snottier,8,33700
shady,5,72000000
croquettes,10,5930000
overmuch,8,2600000
usurped,7,3060000
slalomed,8,40700
identifiers,11,30900000
tuns,4,9660000
embassage,9,48700
oiled,5,115000000
bowing,6,12100000
bellowed,8,2280000
unapproached,12,77100
bookings,8,257000000
enitia,6,8400
bookstalls,10,325000
dockage,7,972000
irrevocability,14,126000
impelling,9,913000
camphorates,11,220000
sprang,6,23500000
yeasty,6,1020000
collates,8,1340000
