nom,tailleMot,nbResults
radioaktivt,11,1020000
trit,4,5750000
underdanig,10,1160000
eksempel,8,24400000
frodig,6,910000
overskygger,11,102000
huseret,7,130000
krise,5,19400000
arbejdsbeskrivelse,18,64700
hungrig,7,5950000
eksempel,8,24400000
zoologi,7,1470000
afsides,7,133000
diks,4,1640000
forestille,10,2010000
tinge,5,9500000
legeringer,10,119000
overraskelsens,14,2200
prompte,7,4240000
mediekommissionens,18,798
okse,4,1090000
brise,5,31200000
modtagerne,10,118000
konsulenten,11,309000
forholdsvis,11,3100000
edda,4,14300000
tillades,8,233000
borde,5,81200000
deltagelse,10,4070000
klemme,6,9190000
lykkeligt,9,354000
drikke,6,20900000
kristendom,10,1700000
astrologer,10,16800000
nakken,6,2290000
pejs,4,1420000
denne,5,232000000
stavekontrollen,15,19300
station,7,1460000000
givent,6,378000
geografisk,10,4030000
europa,6,955000000
just,4,6530000000
integrerede,11,783000
begik,5,388000
bandager,8,417000
san,3,3740000000
autoriserede,12,684000
memoer,6,250000
opsigelsen,10,89000
