nom,tailleMot,nbResults
ridite,6,21500
stan,4,350000000
svincolata,10,296000
comparano,9,30900
disponga,8,8450000
purgai,6,33400
fughiamo,8,4920
liquidare,9,1540000
allargando,10,842000
fucinatura,10,84400
comparando,10,12800000
travisati,9,46900
accendisigaro,13,1160000
catalisi,8,102000
denominarono,12,34400
spolvero,8,415000
mescolando,10,1480000
pulsaste,8,6780
verremo,7,453000
ricercava,9,321000000
oltraggiati,11,32700
portentosa,10,793000
azzarda,7,206000
papato,6,700000
lasciavamo,10,45400
derisa,6,23300000
collaborare,11,7330000
spiccammo,9,4250
avemmo,6,350000
vendicativa,11,143000
camuffate,9,58500
intaglia,8,204000
nave,4,85100000
cigolavamo,10,3000
liquidazioni,12,634000
ammaliata,9,57000
penda,5,10100000
ragguardevoli,13,385000
cantavi,7,52800
sfornito,8,82500
sfociando,9,603000
eguale,6,1720000
ecciteremo,10,4200
consolatoria,12,152000
inconsapevolmente,17,639000
imitai,6,102000
appuriate,9,3820
aosta,5,39600000
sacrilegamente,14,27900
amuleti,7,1220000
