nom,tailleMot,nbResults
buckeroo,8,192000
moonshines,10,670000
aureoled,8,24200
smatches,8,173000
slingstone,10,260000
feminised,9,915000
syrphus,7,99300
ratification,12,19700000
decagynous,10,1760
skeldering,10,5550
revive,6,67600000
aridest,7,15400
aran,4,34400000
boschveld,9,90600
insufferable,12,2510000
sylphid,7,216000
bejants,7,1390
archaeozoology,14,84700
counteractively,15,252000
runways,7,13300000
housebreakers,13,117000
reliance,8,196000000
isothermal,10,5840000
vicereines,10,101000
catted,6,1700000
monoacid,8,127000
urs,3,41600000
pneumococcus,12,646000
loaden,6,242000
defoliated,10,336000
pieds,5,114000000
phalangeal,10,496000
bro,3,308000000
penteconter,11,23400
unrounding,10,411000
roncador,8,2430000
suberates,9,205000
clarionet,9,160000
organized,9,392000000
fastidiousness,14,265000
juridic,7,4840000
pyrheliometer,13,59000
oxygenise,9,7510
vitrification,13,4900000
hacienda,8,112000000
declarations,12,24900000
cinderella,10,118000000
somites,7,542000
leukemia,8,33900000
bosomy,6,59900000
