nom,tailleMot,nbResults
cardiologist,12,18700000
preceding,9,86200000
bangs,5,202000000
wrangling,9,4580000
wonderfulness,13,1140000
goner,5,2650000
swallowing,10,101000000
disembowel,10,324000
whops,5,198000
tragedian,9,515000
athenians,9,1980000
assaying,8,2630000
burrow,6,15600000
mayflower,9,15300000
blink,5,116000000
assignor,8,37400000
deforested,10,713000
ukase,5,447000
landmarks,9,125000000
thalidomide,11,6780000
misappropriate,14,693000
clerks,6,45500000
postnatal,9,13700000
sinuosity,9,270000
ornery,6,1500000
distemper,9,3390000
shadings,8,1280000
sed,3,237000000
canoodling,10,493000
scants,6,61600
trucked,7,1630000
consultants,11,259000000
regulations,11,395000000
glimmered,9,509000
mooted,6,2620000
students,8,1500000000
reunifies,9,37300
insurrections,13,1150000
disjointedly,12,106000
congratulations,15,218000000
occasionally,12,184000000
bursts,6,27100000
monomaniacal,12,151000
scheme,6,405000000
proctologist,12,1020000
estimate,8,650000000
petrels,7,836000
liberalized,11,1630000
oilskin,7,3320000
flakiness,9,618000
