nom,tailleMot,nbResults
dyr,3,36400000
anser,5,21700000
kommandere,10,47100
informerer,10,1170000
huggende,8,7130
fejlhyppigheden,15,556
diskuterer,10,1520000
ungarn,6,57200000
dan,3,3250000000
respektiv,9,378000
ark,3,179000000
arbejdsgiverens,15,72600
delepunkter,11,2970
holdbar,7,2070000
illustrerede,12,178000
testet,6,17600000
antyde,6,225000
vinduerne,9,488000
guinea,6,455000000
undslippe,9,187000
religionen,10,8090000
hormoner,8,1510000
skabelonerne,12,25100
komponent,9,13000000
afhang,6,154000
forklaringer,12,1320000
resultatkrav,12,66600
montere,7,5800000
kompleksitet,12,603000
forefindes,10,439000
hinde,5,27100000
missiler,8,327000
diskret,7,14000000
deformerede,11,7290
overtaget,9,853000
derover,7,1840000
olympiske,9,1250000
myrra,5,572000
kategorien,10,273000000
bandager,8,417000
slidske,7,11400
udtages,7,127000
enheders,8,5900000
overraskende,12,4520000
byrdefordeling,14,13700
varierer,8,4960000
kundekontakt,12,477000
omslutte,8,39500
godkendt,8,7140000
bomber,6,167000000
avistype,8,6810
kopieringen,11,2570000
filmselskabernes,16,1430
smyk,4,7630000
opslag,6,23200000
derefter,8,9350000
skinner,7,41600000
tankeproces,11,46700
aluminium,9,372000000
tisse,5,8850000
sagn,4,784000
orddeling,9,54500
urtepotte,9,196000
samlede,7,7860000
polen,5,118000000
fristen,7,10600000
betegne,7,325000
driftsikkerhed,14,51700
engelsk,7,50600000
overbevise,10,921000
forbinder,9,1760000
dengang,7,3750000
forlod,6,1220000
tilstand,8,8400000
tabulatorstop,13,7200
esse,4,456000000
perioder,8,7170000
tidsangivelser,14,646000
knustes,7,19100
gammelkommunister,17,3490
overgangen,10,2080000
binomial,8,9870000
befriede,8,200000
bibringe,8,86400
gennembrydende,14,2820
bidrage,7,3010000
forskning,9,26700000
kvalitetsstyring,16,140000
kommandoens,11,1400000
bundafstand,11,630
tryllelampe,11,131
distinkte,9,246000
biblioteksforening,18,115000
delopgaver,10,42700
skuffen,7,652000
mestre,6,78800000
menuernes,9,2690
udelader,8,106000
scepter,7,11700000
forsvars,8,246000
radioaktivt,11,1020000
trit,4,5750000
underdanig,10,1160000
eksempel,8,24400000
frodig,6,910000
overskygger,11,102000
huseret,7,130000
krise,5,19400000
arbejdsbeskrivelse,18,64700
hungrig,7,5950000
eksempel,8,24400000
zoologi,7,1470000
afsides,7,133000
diks,4,1640000
forestille,10,2010000
tinge,5,9500000
legeringer,10,119000
overraskelsens,14,2200
prompte,7,4240000
mediekommissionens,18,798
okse,4,1090000
brise,5,31200000
modtagerne,10,118000
konsulenten,11,309000
forholdsvis,11,3100000
edda,4,14300000
tillades,8,233000
borde,5,81200000
deltagelse,10,4070000
klemme,6,9190000
lykkeligt,9,354000
drikke,6,20900000
kristendom,10,1700000
astrologer,10,16800000
nakken,6,2290000
pejs,4,1420000
denne,5,232000000
stavekontrollen,15,19300
station,7,1460000000
givent,6,378000
geografisk,10,4030000
europa,6,955000000
just,4,6530000000
integrerede,11,783000
begik,5,388000
bandager,8,417000
san,3,3740000000
autoriserede,12,684000
