nom,tailleMot,nbResults
tasered,7,1010000
clippie,7,403000
anthropopathic,14,17500
habitus,7,7200000
frederic,8,59000000
facere,6,14800000
crescograph,11,15200
yeastiness,10,58700
chiral,6,8340000
unadored,8,12100
zooperal,8,1440
rosetted,8,222000
caponieres,10,5560
sneezers,8,57700
nullifiers,10,114000
arew,4,421000
apterium,8,29000
cavicorns,9,82700
exhaustion,10,25100000
finny,5,2430000
purs,4,5830000
spiritualises,13,8400
antoninianus,12,3540000
scone,5,11300000
elucubration,12,15000
vitaliser,9,306000
thickened,9,13800000
unvocal,7,300000
rootlets,8,381000
nordic,6,162000000
exploded,8,52400000
papua,5,394000000
smokings,8,1230000
hansardise,10,2370
adderstone,10,66500
demutualise,11,14300
unsoftening,11,46900
nurslings,9,63100
khats,5,174000
handsomely,10,6960000
defensor,8,40000000
eurypterid,10,87800
jurally,7,36500
chinese,7,1610000000
catholicize,11,29000
medinas,7,790000
chagrining,10,19600
lisses,6,7860000
kooking,7,217000
sporters,8,2360000
attainders,10,36700
heroines,8,28800000
unright,7,120000
cultic,6,944000
permease,8,2450000
majeste,7,1960000
tunelessness,12,8870
unspilt,7,3810000
cestoids,8,6540
pasha,5,39200000
spaulds,7,990
proscenium,10,1370000
statuette,9,8690000
amok,4,11500000
rammed,6,49400000
ordinees,8,24000
shocking,8,165000000
mangos,6,269000000
summersault,11,313000
rub,3,399000000
ortolans,8,125000
misstate,8,307000
dishonoured,11,2010000
betide,6,736000
circumduction,13,155000
congenetic,10,9480
masculineness,13,10000
declinatures,12,16000
cerebra,7,438000
dentels,7,10700
radioactive,11,44200000
progymnasiums,13,279000
contradance,11,455000
microphyllous,13,19000
southwards,10,2060000
pyrochemical,12,45100
guanas,6,87900
sherbet,7,9910000
dobson,6,23100000
materialising,13,409000
blesses,7,9980000
barleys,7,231000
sidedly,7,220000
birmingham,10,242000000
dragonflies,11,19200000
bises,5,7550000
detraques,9,423000
hug,3,168000000
haddocks,8,226000
buhrstone,9,32300
mytiloid,8,3500
reclining,9,25900000
ripplingly,10,4520
unwealthy,9,28500
collembolans,12,36800
disintegrator,13,612000
media,5,7630000000
fanfarades,10,925
hiss,4,20100000
appose,6,70400000
falls,5,973000000
collembolan,11,68500
send,4,3160000000
advisership,11,32200
chef,4,675000000
degustate,9,136000
rakshasas,9,158000
unhorned,8,11100
idiotcy,7,27000
unperfumed,10,110000
synovia,7,571000
mayor,5,919000000
snivelling,10,255000
multivalences,13,180000
unlopped,8,272000
trundlers,9,61700
invincibleness,14,10300
lion,4,478000000
bridler,7,46700
keds,4,35400000
heckelphones,12,63000
stubbier,8,75700
demodulates,11,796000
clot,4,23500000
quiz,4,304000000
boutades,8,176000
smatched,8,107000
cenesthesia,11,7230
grindery,8,225000
inflatables,11,44000000
circumstantiation,17,22600
sup,3,209000000
histologic,10,7640000
ashiver,7,1840000
krumhorns,9,46200
miaow,5,1240000
cerebrovascular,15,9380000
plicae,6,175000
plautus,7,2450000
duodenal,8,4960000
guacos,6,75800
noachic,7,16000
preceptor,9,3460000
germanise,9,196000
caginess,8,42000
idolize,7,2330000
kebobs,6,7070000
andesitic,9,412000
breading,8,3100000
portfolio,9,547000000
agelast,7,387000
coelomatic,10,3040
helleborine,11,256000
coltish,7,176000
inconsistence,13,28700000
thermion,8,77400
assailments,11,30900
sundial,7,6830000
bokmal,6,1990000
cotyledonous,12,40000
grumbled,8,3680000
yexes,5,323000
decoratively,12,1050000
ergotised,9,2160
vodaphones,10,2450000
oligochaeta,11,468000
bronchography,13,63500
stockinged,10,6540000
myrtle,6,75700000
cryosurgeon,11,890000
untraded,8,127000
bespangling,11,29400
arianizing,10,12200
dirempt,7,12300
intellectualist,15,198000
gambols,7,887000
ligase,6,6420000
wergild,7,65300
instrumentalists,16,2750000
caviness,8,1170000
neaten,6,535000
carrageens,10,2470000
anatomist,9,1310000
ischaemias,10,2340000
initialed,9,2050000
micronesian,11,1480000
unsufferable,12,45400
repellers,9,437000
tracks,6,739000000
reunionistic,12,6800
buckeroo,8,192000
moonshines,10,670000
aureoled,8,24200
smatches,8,173000
slingstone,10,260000
feminised,9,915000
syrphus,7,99300
ratification,12,19700000
decagynous,10,1760
skeldering,10,5550
revive,6,67600000
aridest,7,15400
aran,4,34400000
boschveld,9,90600
insufferable,12,2510000
sylphid,7,216000
bejants,7,1390
archaeozoology,14,84700
counteractively,15,252000
runways,7,13300000
housebreakers,13,117000
reliance,8,196000000
isothermal,10,5840000
vicereines,10,101000
catted,6,1700000
monoacid,8,127000
urs,3,41600000
pneumococcus,12,646000
loaden,6,242000
defoliated,10,336000
pieds,5,114000000
phalangeal,10,496000
bro,3,308000000
penteconter,11,23400
unrounding,10,411000
roncador,8,2430000
suberates,9,205000
clarionet,9,160000
organized,9,392000000
fastidiousness,14,265000
juridic,7,4840000
pyrheliometer,13,59000
oxygenise,9,7510
vitrification,13,4900000
hacienda,8,112000000
declarations,12,24900000
cinderella,10,118000000
somites,7,542000
leukemia,8,33900000
bosomy,6,59900000
leasers,7,179000
blads,5,347000
opaques,7,4110000
sander,6,503000000
passuses,8,31400
serinettes,10,18500
knower,6,1910000
geotactic,9,21400
radioautographs,15,34700
microgrooves,12,151000
misheard,8,3290000
streetway,9,247000
autografts,10,457000
nomenclatures,13,1580000
torridge,8,806000
annulated,9,219000
chipping,8,21600000
abel,4,113000000
godrooning,10,1390
polynesia,9,252000000
weathercocking,14,16500
rowans,6,733000
aeriality,9,18000
inflicting,10,6530000
selenographers,14,164000
ogreish,7,41800
feudally,8,52500
fluoridizes,11,42000
reefers,7,2180000
ramekins,8,2230000
listerises,10,37800
overstaining,12,18800
formated,8,4030000
arranged,8,228000000
sclerotics,10,1150000
marginate,9,78800
vivien,6,29100000
ungentleness,12,35300
lemons,6,87700000
spicas,6,409000
kippur,6,5910000
scant,5,10600000
shepherdless,12,22800
eggshells,9,2880000
foghorn,7,1820000
willow,6,138000000
aspects,7,485000000
connery,7,9940000
jinxed,6,2830000
chanting,8,27200000
