nom,tailleMot,nbResults
patentassions,13,1030
bedonnassent,12,1420
affairerions,12,2510
redescendront,13,15200
desserrera,10,6260
conviasse,9,2140
concordez,9,49300000
bredouilla,10,75700
reconstitue,11,2440000
bambocherons,12,2920
ponceau,7,1270000
recuisis,8,750
tortu,5,5760000
magots,6,615000
attriste,8,418000
nasaliserai,11,991
fruitier,8,1840000
agglutinez,10,5370
affreux,7,4630000
aviations,9,2450000
comportements,13,11700000
consisterait,12,853000
introduirons,12,47700
obligerions,11,5290
affermera,9,6580
meilleures,10,119000000
clameront,9,39800000
rajouta,7,118000
perfectionnerions,17,4990
punirait,8,40600
magistrats,10,8240000
frisaient,9,20700
compterions,11,7700
graviteraient,13,7110
nandous,7,24200
diagnostiquais,14,7340
sautas,6,33000
syphilitiques,13,228000
absoudras,9,3500
rencongnes,10,3
sapent,6,169000
caneton,7,692000
provinciaux,11,2560000
fulgurasse,10,5350
enlevais,8,121000
deviseront,10,1940
calmassent,10,3210
communiassiez,13,2410
rentoilais,10,1430
engouerais,10,1220
alanguirai,10,1920
dispensas,9,908000
prosternassions,15,1810
renouvelaient,13,60700
broderont,9,7130
honorent,8,885000
exclusives,10,1250000000
pochassent,10,1450
provoquasses,12,1860
rouilleriez,11,1560
bacheliers,10,2500000
grisassent,10,1720
noterons,8,165000
insulteriez,11,4040
olfactive,9,1690000
additionnassent,15,3250
jasassent,9,1680
gaulliste,9,424000
montrerai,9,744000
exhortent,9,378000
palissadent,11,1820
suer,4,4740000
vouvoierait,11,2350
maladif,7,370000
tisonneraient,13,1110
remmenaient,11,1900
zozotasse,9,1080
geintes,7,2410
fige,4,2370000
cesse,5,30400000
aplanis,7,53300
subventionneras,15,3440
barricadas,10,1690000
serrent,7,643000
bombardez,9,35100
exploitas,9,556000
cajolons,8,2300
ayez,4,17000000
canonneriez,11,1140
jais,4,9800000
soufflettes,11,102000
installasse,11,27000
boufferez,9,2850
ressortiriez,12,3320
fauchassent,11,1530
noisettes,9,5590000
invectivent,11,33100
demain,6,87700000
monochrome,10,6740000000
charbonne,9,132000
fossiliseriez,13,1460
jurisprudence,13,23300000
lustra,6,10900000
purgatif,8,284000
surnageais,10,1910
biologique,10,19500000
chagrinez,9,12000
extorsion,9,1350000
conduisent,10,4930000
distancions,11,3620
affolasse,9,1680
conditionnai,12,3200
biologies,9,432000
minuter,7,25700000
accident,8,437000000
balafons,8,118000
calvaires,9,293000
resurgirent,11,7010
jargon,6,19500000
procurassent,12,11000
dus,3,197000000
pronominalement,15,5220
parlerions,10,49700
extasiassent,12,1660
nationale,9,238000000
fondait,7,1270000
repliassiez,11,1360
progressa,9,303000
ploiement,9,76900
enclose,7,23800000
escaladerions,13,3590
asphyxiais,10,21600
enjambas,8,7310
sprintons,9,4080
discernent,10,6880000
oscilleront,11,47100
cancanaient,11,5570
bercez,6,33400
isolationniste,14,109000
arraisonnerait,14,2070
nacrassiez,10,1030
avoir,5,515000000
damerais,8,1190
