nom,tailleMot,nbResults
cogliete,8,99900
aggiungete,10,2700000
investirli,10,63700
igneo,5,589000
frugaste,8,673
coste,5,52700000
celebrai,8,567000
tapino,6,351000
brontolo,8,262000
verificatore,12,156000
riprodotta,10,495000
allunga,7,2590000
allegati,8,17500000
camminamento,12,221000
forniremo,9,771000
girabile,8,13600
spartir,7,59100
zip,3,1440000000
agonizzati,10,6730
tradiamo,8,17800
esclamiamo,10,8990
tamburino,9,525000
ripagherei,10,11500
fragoroso,9,430000
scapitavi,9,2500
venirci,7,551000
israeliani,10,791000
accademismo,11,49300
descritti,9,5060000
ripulimmo,9,13500
parlerete,9,53700
isolate,7,102000000
delirino,8,1920
florida,7,1030000000
pagabile,8,271000
cedono,6,789000
calzeranno,10,4470
purifico,8,124000
capitati,8,577000
posizione,9,97500000
pelassero,9,4280
ingiustificati,14,328000
apatia,6,2370000
scordarne,9,6170
suoniamo,8,292000
confidarsi,10,168000
pulseranno,10,4220
basterai,8,3690
terminammo,10,6710
lungolago,9,1170000
andai,5,12300000
legna,5,12100000
crocicchio,10,121000
scriviamo,9,999000
processasse,11,36800
capello,7,13600000
scherzose,9,82600
volerli,7,185000
sorprendendo,12,154000
aduleremmo,10,6040
sporcasse,9,10400
rosolar,7,16200
udrai,5,61400
proibirai,9,2590
tartufi,7,14000000
rubavate,8,1680
regalerei,9,52200
dispensava,10,227000
asola,5,2630000
ciclo,5,143000000
confessino,10,16300
protesto,8,31400000
defluiti,8,4570
cantasti,8,12000
desteranno,10,9300
spioventi,9,111000
sopisti,7,1530
consegna,8,91300000
rammentate,10,65900
vittoria,8,65100000
spazzini,8,203000
interni,7,54800000
turbino,7,250000
divoraste,9,13600
provvedervi,11,140000
astrologar,10,16800000
appunterei,10,5340
uragani,7,769000
assistite,9,568000
droghe,6,2890000
associarvi,10,29000
digitazione,11,669000
mammiferi,9,1670000
inviate,7,7260000
bandivano,9,6190
stempiato,9,52700
cenano,6,3980000
vaneggiava,10,8310
assimili,8,32800
campanili,9,812000
ridite,6,21500
