nom,tailleMot,nbResults
spotlightet,11,281000000
bre,3,64900000
anpasning,9,3890000
uniformeres,11,2140
halvdan,7,587000
fysiker,7,489000
forsamla,8,13500
dess,4,39000000
ulken,5,475000
blekket,7,80900
sysselmann,10,37000
ungar,5,6960000
regjeringene,12,45100
berlinerne,10,9960
siktveksel,10,559
marbakken,9,4960
appretur,8,119000
anvisningene,12,126000
betraktelig,11,758000
forkleet,8,29300
framkom,7,788000
pennyen,7,34300
skimlet,7,22100
anstendighet,12,42000
rives,5,18300000
fineste,7,4200000
tres,4,809000000
stenografene,12,115000
tilvekst,8,153000
regionalpolitikk,16,569000
mandagens,9,1270000
formatering,11,932000
multipliserte,13,3370
signalerer,10,303000
hardhendt,9,48100
akkuratesse,11,68300
utskyllinga,11,94
dynn,4,326000
tilpassing,10,377000
marked,6,523000000
katalyse,8,506000
hansktes,8,77
drotten,7,51700
foreningenes,12,8140
uvennlige,9,10100
kapellanen,10,28600
blazeren,8,1260000
betenkningen,12,1100000
kuleflate,9,3010
bidragsplikt,12,6120
armbruk,7,3940
hemmer,6,4280000
tilkjempet,10,5380
utviklingslanda,15,4680
dimme,5,369000
nigerianske,11,1440000
korinten,8,8420
svine,5,1120000
tilriv,6,12000
vokabularer,11,6850
bibeholdes,10,247000
naget,5,1140000
skaptes,7,77200000
panten,6,538000
skreie,6,1890
and,3,25270000000
plotte,6,1330000
merskummen,10,98
sannheten,9,1510000
kosthold,8,3680000
sneie,5,14400
reinfann,8,20600
utmerkede,9,762000
mexicaner,9,190000
laste,5,60000000
envist,6,307000
avskyelige,10,34700
bomber,6,167000000
certeparti,10,103000
kriminalpolitiet,16,29800
drenert,7,95800
bevisets,8,37800
dysset,6,21100
plasskrevende,13,40300
overvunne,9,3820
dalte,5,407000
vassmangel,10,1560
kvilepause,10,4560
skadevirkninger,15,227000
perpetuum,9,10000000
gunstig,7,9200000
samsvaret,9,2660000
etterretning,12,406000
kritt,5,1470000
bakk,4,1470000
avbetalingen,12,597000
seedet,6,102000
bacalao,7,6490000
falsumet,8,2860
backnut,7,208000
lojalitet,9,962000
potensiell,10,611000
reaktorene,10,10900
tilvisinger,11,6890
bruttoarealet,13,228000
episodes,8,379000000
kubikkfot,9,18200
forslumminga,12,454
het,3,956000000
antrasitt,9,220000
forskrekka,10,29300
bruttoareal,11,228000
sabbe,5,771000
aktivert,8,1430000
biscaya,7,499000
dugnad,6,1360000
veggaviser,10,2330
pliktig,7,356000
ter,3,821000000
hybler,6,276000
tilbakeblikket,14,10700
spekulant,9,395000
krybba,6,15700
siloen,6,101000
limerickene,11,13700
valkyrjen,9,3680
tevla,5,75600
sveltefore,10,150
janen,5,445000
kollegers,9,93000
bayonneskinke,13,8990
kart,4,223000000
heimen,6,2560000
slegge,6,127000
dygd,4,257000
brekken,7,782000
plaffet,7,7600
barneinstitusjon,16,1320
sidespor,8,205000
bevarte,7,239000
grusen,6,144000
innledningen,12,226000
bonden,6,2380000
sniken,6,49400
hetten,6,852000
arbeidsmetoder,14,139000
kivdes,6,1040
kvensk,6,608000
bevisst,7,4570000
onanerte,8,51400
gummi,5,57600000
makkverk,8,35100
ordlyden,8,272000
gjestmild,9,2620
bekvemmelige,12,9120
hydrolysen,10,17400
karsjukdom,10,2890
anilin,6,2210000
bassengene,10,302000
oppsetninger,12,115000
aldringen,9,414000
brosjyrer,9,1050000
hekten,6,8490
buddhisten,10,456000
influensaen,11,49000
unnvike,7,25600
stemor,6,1760000
arbeidsstedet,13,90200
snerre,6,30200
banebil,7,36700
delinga,7,266000
gullstandarden,14,23500
vraka,5,569000
ulvungen,8,13400
driftsbestyrer,14,17600
forandringene,13,145000
utsultet,8,25600
triks,5,3460000
meieriene,9,68200
bedrageriet,11,20400
skurden,7,5380
loftsbod,8,13900
dikkedarer,10,98500
