nom,tailleMot,nbResults
confirmed,9,765000000
apothems,8,10700
impassible,10,1580000
groggiest,9,14900
franc,5,156000000
deco,4,313000000
coition,7,1470000
symphonic,9,25400000
cessors,7,516000
unpardoned,10,41500
prawns,6,17500000
assiduously,11,1860000
articles,8,2750000000
chromate,8,3260000
fooleries,9,81100
geed,4,3770000
skews,5,1850000
vernally,8,43800
approximates,12,6960000
tintypes,8,493000
expedites,9,1030000
syllable,8,13800000
portuguese,10,530000000
foretell,8,2060000
recapitulations,15,91600
unlimbering,11,122000
inaugurates,11,10300000
adaptors,8,19800000
disengaging,11,3280000
preclude,8,24000000
melodic,7,27000000
inadmissible,12,5820000
diminutive,10,11900000
flintiest,9,14200
maths,5,175000000
coheres,7,325000
chlorpromazine,14,2180000
orbits,6,24400000
clapped,7,5010000
mulched,7,990000
mho,3,5490000
vietnam,7,766000000
hoovers,7,83000000
bartered,8,1420000
remodelling,11,7780000
substantiate,12,11600000
coyness,7,1500000
opals,5,130000000
caper,5,14000000
teleconferencing,16,2050000
backpacks,9,140000000
injudiciously,13,208000
deliverers,10,720000
reprocess,9,965000
norm,4,142000000
claire,6,339000000
redoubt,7,1770000
valuator,8,922000
shifting,8,95000000
walpole,7,9900000
anaconda,8,32100000
sojourns,8,740000
protease,8,17800000
twigged,7,258000
nuptial,7,4700000
yugoslavs,9,304000
tacking,7,4040000
psyching,8,329000
parcelling,10,220000
eavesdropped,12,413000
bloomsbury,10,16400000
competently,11,4330000
cowhand,7,406000
odes,4,22600000
diatomaceous,12,2900000
cites,5,53700000
disinheriting,13,111000
snottier,8,33700
shady,5,72000000
croquettes,10,5930000
overmuch,8,2600000
usurped,7,3060000
slalomed,8,40700
identifiers,11,30900000
tuns,4,9660000
embassage,9,48700
oiled,5,115000000
bowing,6,12100000
bellowed,8,2280000
unapproached,12,77100
bookings,8,257000000
enitia,6,8400
bookstalls,10,325000
dockage,7,972000
irrevocability,14,126000
impelling,9,913000
camphorates,11,220000
sprang,6,23500000
yeasty,6,1020000
collates,8,1340000
pickets,7,4160000
spiking,7,4960000
surrogates,10,8330000
contrarily,10,1800000
ecocide,7,472000
optionees,9,39800
friendships,11,41600000
intend,6,97600000
arraign,7,1110000
frescos,7,144000000
contrariety,11,1320000
transmutably,12,109000
adumbrates,10,273000
coagulated,10,1620000
disables,8,8440000
sodding,7,1720000
junta,5,126000000
ooze,4,11100000
unprinted,9,53800000
pessimists,10,1370000
lugubrious,10,642000
moving,6,987000000
butts,5,156000000
mechanic,8,171000000
ineducable,10,47700
wimpish,7,79200
